AgencyID,AgencyName,AgencyCode,AgencyStartDate
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2012-10-28
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2020-04-06
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2018-02-19
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2020-04-27
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2017-06-19
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2013-11-04
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2014-06-16
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2018-03-19
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2015-01-20
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2017-07-17
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2006-09-05
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2018-09-17
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2014-11-10
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2017-04-03
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2016-02-16
2120.0,OFFICE OF EMERGENCY MANAGEMENT,0.0,2017-10-16
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2004-11-29
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2016-01-15
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,1988-06-13
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2005-12-25
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2007-02-05
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2017-02-21
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2017-12-31
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,1982-06-21
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,2008-07-14
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,1988-09-27
2122.0,OFFICE OF MANAGEMENT & BUDGET,0.0,1999-01-04
0.0,NYC HOUSING AUTHORITY,2153.0,2018-02-26
0.0,NYC HOUSING AUTHORITY,2153.0,2019-08-12
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-02-26
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2010-08-02
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2007-01-16
0.0,GUTTMAN COMMUNITY COLLEGE,2092.0,2011-04-17
0.0,NYC HOUSING AUTHORITY,2153.0,1994-05-24
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2019-02-04
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2006-07-31
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2004-10-01
0.0,DEPARTMENT OF CORRECTION,2017.0,2008-03-24
0.0,DEPARTMENT OF CORRECTION,2017.0,2020-01-27
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2013-12-09
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2005-07-01
0.0,DEPT OF ENVIRONMENT PROTECTION,2131.0,1989-02-14
0.0,OFFICE OF THE ACTUARY,2044.0,2015-05-18
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2003-07-01
0.0,DEPARTMENT OF CORRECTION,2017.0,2014-10-20
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,1992-08-31
0.0,DEPARTMENT OF SANITATION,2132.0,2000-07-10
0.0,OFFICE OF THE COMPTROLLER,2051.0,2016-01-11
0.0,NYC HOUSING AUTHORITY,2153.0,2003-04-28
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2000-11-21
0.0,COMMUNITY COLLEGE (QUEENSBORO),2094.0,2005-08-01
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2016-03-21
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-01-08
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2009-07-01
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-09-10
0.0,DEPARTMENT OF SANITATION,2132.0,1997-07-28
0.0,DEPT OF ENVIRONMENT PROTECTION,2131.0,2006-07-17
0.0,NYC HOUSING AUTHORITY,2153.0,1998-05-18
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2014-08-04
0.0,DEPARTMENT OF CORRECTION,2017.0,2008-12-01
0.0,DEPT OF ED PEDAGOGICAL,2053.0,2018-04-02
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2015-11-16
0.0,DEPARTMENT OF CORRECTION,2017.0,2017-05-08
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2013-07-01
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2007-06-24
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2004-01-05
0.0,OFFICE OF THE MAYOR,2041.0,2017-12-31
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,1998-09-14
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2006-07-03
0.0,DEPARTMENT OF SANITATION,2132.0,2000-08-21
0.0,DEPARTMENT OF SANITATION,2132.0,2000-07-24
0.0,DEPARTMENT OF SANITATION,2132.0,1999-10-18
0.0,COMMUNITY COLLEGE (BRONX),2093.0,2015-08-17
0.0,COMMUNITY COLLEGE (LAGUARDIA),2099.0,2020-08-17
0.0,FIRE DEPARTMENT,2012.0,1999-07-07
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2019-08-12
0.0,DEPARTMENT OF SANITATION,2132.0,2004-11-15
0.0,NYC HOUSING AUTHORITY,2153.0,2019-09-03
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,1986-04-01
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-11-05
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2016-09-19
0.0,DEPARTMENT OF SANITATION,2132.0,2004-05-03
0.0,COMMUNITY COLLEGE (MANHATTAN),2096.0,2020-09-01
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2012-07-02
0.0,DEPARTMENT OF CORRECTION,2017.0,2016-08-08
0.0,DISTRICT ATTORNEY-MANHATTAN,2142.0,1985-08-26
0.0,BOARD OF ELECTION,2042.0,2005-07-03
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-10-22
0.0,CAMPAIGN FINANCE BOARD,2043.0,1989-01-29
0.0,NYC HOUSING AUTHORITY,2153.0,2010-03-08
0.0,DEPARTMENT OF SANITATION,2132.0,2012-09-24
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2015-09-21
0.0,DEPARTMENT OF SANITATION,2132.0,2004-03-22
0.0,DEPARTMENT OF SANITATION,2132.0,2000-09-05
0.0,DEPARTMENT OF FINANCE,2134.0,2013-02-19
0.0,DEPARTMENT OF CORRECTION,2017.0,2001-10-11
0.0,FIRE DEPARTMENT,2012.0,1980-01-09
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2009-06-22
0.0,COMMUNITY COLLEGE (HOSTOS),2098.0,2002-01-15
0.0,DEPT OF PARKS & RECREATION,2136.0,2018-10-29
0.0,DEPARTMENT OF SANITATION,2132.0,1983-06-01
0.0,FIRE DEPARTMENT,2012.0,1994-01-16
0.0,OFFICE OF THE COMPTROLLER,2051.0,2010-09-12
0.0,OFFICE OF THE COMPTROLLER,2051.0,2005-02-22
0.0,DEPARTMENT OF CORRECTION,2017.0,1996-10-16
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2015-05-04
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2018-07-02
0.0,DEPT OF ED PEDAGOGICAL,2053.0,1984-09-17
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2002-10-23
0.0,FIRE DEPARTMENT,2012.0,2015-09-14
0.0,DEPARTMENT OF CORRECTION,2017.0,2008-02-19
0.0,DEPT OF HEALTH/MENTAL HYGIENE,2129.0,2017-08-14
0.0,FIRE DEPARTMENT,2012.0,1992-07-05
0.0,POLICE DEPARTMENT,2010.0,2013-06-03
0.0,FIRE DEPARTMENT,2012.0,2005-01-20
0.0,NYC HOUSING AUTHORITY,2153.0,2003-04-14
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2006-07-24
0.0,FIRE DEPARTMENT,2012.0,1999-08-08
0.0,FIRE DEPARTMENT,2012.0,1995-07-09
0.0,DEPT OF ENVIRONMENT PROTECTION,2131.0,2008-06-02
0.0,DEPARTMENT OF CORRECTION,2017.0,2000-06-01
0.0,DEPARTMENT OF CORRECTION,2017.0,2004-03-04
0.0,DEPT OF CITYWIDE ADMIN SVCS,2141.0,2016-05-31
0.0,FIRE DEPARTMENT,2012.0,1990-08-19
0.0,POLICE DEPARTMENT,2010.0,1998-06-30
0.0,POLICE DEPARTMENT,2010.0,2018-02-12
